随机波动 114： 世界如此疯狂，我们何必正常
   会议讨论了文学、创作、女性主义作家的主题，包括阅读赫塔米勒的《呼吸秋千》和思考暴力等话题，探讨了东欧历史和文化，
中国对社会主义现实主义文学的定义存在问题，还探讨了金艾兰和萨利鲁尼的作品以及他们对读者的影响，以及女性在文化大革命期间的经历和女性主义问题。
会议旨在平衡奉献和追求个人成长，使生活更美好。
00:00:11	女性主义作家会议：细读政治线索，聊作家作品
00:04:22	《呼吸秋千》思考暴力与权力
00:08:47	赫达米勒和东欧历史、文化，女性痛苦参照系？苦咖啡文学？我国定义存在问题。
00:14:17	上一代人的经历和角度与年轻一代不同，难以完全带入沟通和理解。历史和话语权重要，每一代人都有自己的痛苦和经历。
00:17:48	金艾兰和萨利鲁尼：奥斯汀时代和十九世纪文学的脉络
00:22:11	塑料制品和政治书写：莱心和阿特伍德、阿德伍德和聊天记录
00:26:22	女性作家自传问题：微妙的挑战
00:29:55	文化大革命中女性面临的困难与女性主义问题
00:34:18	作家生平与作品关系研究会议：避免本末倒置，重视生平
00:38:32	女作家的自我认知与写作生命
00:42:16	性别刻板印象：文学的反击
00:45:32	"女性作家的不正常元素：挑战传统标准"
00:49:09	沃尔夫作品中女性情绪化与理性约束的矛盾，承认男性也有情绪化的特质
00:53:31	女性作家的写作风格和性别立场：个人经验和情感融入故事，男性作家更擅长描写女性角色性别身份和心理状态，老年女性角色也越来越受到关注。
00:58:07	"后更年期女性：重获自由的象征"
01:02:15	承认美感和价值，避免过度解读和偏见：看待性侵和性暴力文学作品
01:06:58	女性如何避免被想象成施害者？ 

林意涵是一个受害者，但他同时又是自己受害者的角色。 

法国女作家揭示社会和法律观念的扭曲。
01:10:59	会议探讨政治自传和非虚构文本，托尼莫里森的宠儿等经典文本。会议认为，文本结构形式可以回到政治话题，事件重要与否大小来判断。谢谢大家的参与。
01:15:13	平衡奉献和个人成长：让生活更美好
00:00:11-->00:00:15	各位听众朋友们大家好欢迎收听最新一期的随机播动我是冷建国
00:00:23-->00:00:43	今天我们很开心请到了张悦然老师就是很久就想请请你来聊关于文学关于创作然后关于女性主义作家然后今天终于有这样一个机会呃也是因为呃悦然今年在看理想推出了一系列关于女性女作家的一个课吧然后到现在这个课呃关于八百
00:00:43-->00:01:03	女作家已经完全讲完了然后我们这一期呃计算是一个女作家系列的番外吧然后也呃涉及到一些我们三个在听了这个课之后的一些延伸的思考那欢迎悦然来节目先跟听众们打个招呼吧呃大家好我是张悦然呃我听了张悦然这一系列课觉
00:01:03-->00:01:10	的还挺有意思的就是从最开始的沃尔福然后到后面的莱新卡特和托卡尔丘克
00:01:12-->00:01:15	好像文本细读的角度然后又带我们进入了一个
00:01:15-->00:01:20	不同的层面上就是如何去看待这些女作家我印象很深的就是
00:01:25-->00:01:27	黄思琪的初恋乐园的一个对赌
00:01:30-->00:01:35	在之前随机波动的节目里就是关于一个女性的房间视爷也提到了
00:01:36-->00:01:46	莱新的十九号房间其实那个就是听了悦然的那个课对对对听了莱新那一期然后他在莱新那一期里面其实还对赌了另外一个男性作家讲的
00:01:46-->00:01:53	差不多的故事但是其实是完全不一样的意味我当时听完之后就觉得很受启发对我觉得有一些非常有意思的对赌
00:01:54-->00:01:57	玉然前几年出的那个顿悟的时刻
00:01:57-->00:02:01	这也是我很喜欢的一本文学评论集就是我觉得你从
00:02:05-->00:02:08	又写然后又评论然后又读的那种
00:02:09-->00:02:12	多重性给这些文本带来了很多丰富的内容
00:02:15-->00:02:22	里面其实随机波动也聊过其中的很多人包括沃尔福阿特伍德莱辛和费兰
00:02:22-->00:02:30	嗯那我们今天可能想从这些作家中包括岳然也没有讲到但我们平常会读的一些作家中抽象出一个
00:02:31-->00:02:34	很复杂的线索就是政治这个线索
00:02:39-->00:02:42	准备这期节目包括提纲的时候
00:02:47-->00:02:52	就像林意涵会把性侵比喻成奥斯维辛然后刘希
00:02:52-->00:02:56	你的林兆曾经说就一具身体承受的暴力跟一次核爆炸
